001080	1
003005	1
002003	1
001081	1
004115	1
005013	1
004096	1
005134	1
008074	1
006153	1
008105	1
009075	1
009167	1
010011	1
009106	1
006007	1
015126	1
013041	1
010034	1
011034	1
015133	1
017027	1
017150	1
017149	1
017158	1
018020	1
018025	1
020025	1
020090	1
020150	1
020149	1
023102	1
023191	1
025044	1
025157	1
027076	1
027113	1
027118	1
027154	1
030078	1
030079	1
034035	1
030082	1
034121	1
034133	1
035114	1
035115	1
035040	1
038039	1
035166	1
040090	1
041083	1
041084	1
041134	1
042084	1
042092	1
043044	1
043079	1
043143	1
043152	1
043156	1
044156	1
044157	1
044159	1
051076	1
051100	1
051183	1
052057	1
055125	1
055127	1
055128	1
055156	1
055183	1
057158	1
056109	1
057063	1
058059	1
058110	1
059118	1
059134	1
061077	1
064065	1
066067	1
064141	1
074117	1
075100	1
075163	1
076077	1
076122	1
076143	1
078156	1
077122	1
079109	1
080081	1
079123	1
079142	1
082174	1
085114	1
085133	1
085186	1
085190	1
086089	1
086087	1
087088	1
087089	1
088089	1
092096	1
092107	1
092108	1
092168	1
097098	1
097142	1
098126	1
100107	1
100116	1
101116	1
101139	1
102173	1
102176	1
105117	1
106108	1
106148	1
106173	1
106181	1
112113	1
109142	1
110136	1
111130	1
112132	1
112140	1
113132	1
113140	1
114119	1
115144	1
114166	1
115145	1
115175	1
118125	1
118134	1
118154	1
119124	1
119145	1
119190	1
122144	1
123140	1
124145	1
125134	1
123188	1
127128	1
127129	1
127184	1
128129	1
136175	1
137138	1
139140	1
139189	1
140170	1
141182	1
141183	1
144169	1
144171	1
148151	1
144176	1
146147	1
148177	1
151164	1
151165	1
152153	1
156169	1
157159	1
164165	1
158159	1
167168	1
169171	1
170187	1
171172	1
